CODIGO_OFICINA;IDCLIENTE_ESTABLECIMIENTO;CODIGO DANE;ID_MUNICIPIO;NOMBRE_OFICINA;NOMBRE MUNICIPIO;IDMUN_ACT_ECONOMICA;ID_PUC;CODIGO CUENTA;IDTIPO_CALCULO;Tipo de Calculo (Ley/Municipal);ESTADO;ID_ESTADO
86;26;11001;169;OFICINA GALERIAS;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
71;27;11001;169;OFICINA ISERRA CALLE 100;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
51;28;11001;169;OFICINA JAVERIANA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
75;29;11001;169;OFICINA KENNEDY;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
76;30;25899;598;OFICINA LA CASONA ZIPAQUIRA;ZIPAQUIRA;15;2;4102020015;2;MUNICIPIO;ACTIVO;1
81;31;11001;169;OFICINA LA ENERGIA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
89;32;11001;169;OFICINA LA MAGDALENA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
94;33;11001;169;OFICINA LA PORCIUNCULA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
99;34;11001;169;OFICINA LA SOLEDAD;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
82;35;11001;169;OFICINA LAS FERIAS;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
88;36;11001;169;OFICINA MARLY;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
45;37;11001;169;OFICINA MODELIA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
64;38;11001;169;OFICINA NIZA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
42;39;11001;169;OFICINA NORMANDIA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
8;40;11001;169;OFICINA ORQUIDEAS;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
77;41;11001;169;OFICINA PABLO SEXTO;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
97;42;11001;169;OFICINA PASEO REAL;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
38;43;11001;169;OFICINA PASEO SAN RAFAEL;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
98;44;11001;169;OFICINA PLAZA DE BOLIVAR;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
53;45;11001;169;OFICINA PLAZA DE LAS AMERICAS I;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
58;46;11001;169;OFICINA PRADO VERANIEGO;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
60;47;11001;169;OFICINA PRINCIPAL BOGOTA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
79;48;11001;169;OFICINA QUINTA PAREDES;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
93;49;11001;169;OFICINA RICAURTE;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
19;50;11001;169;OFICINA SALITRE PLAZA I;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
70;51;11001;169;OFICINA SAN MARTIN;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
26;52;11001;169;OFICINA SAN PATRICIO;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
78;53;11001;169;OFICINA SANTA ANA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
57;54;11001;169;OFICINA SANTA BARBARA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
10;55;11001;169;OFICINA SANTA ISABEL;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
67;56;11001;169;OFICINA SANTA MARIA DE LOS ANGELES;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
66;57;11001;169;OFICINA SIETE DE AGOSTO;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
11;58;11001;169;OFICINA TELEPORT BUSINESS;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
23;59;25754;610;OFICINA TERREROS ANTES UNISUR;SOACHA;7;2;4102020015;2;MUNICIPIO;ACTIVO;1
46;60;11001;169;OFICINA TOBERIN;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
95;61;11001;169;OFICINA TRINIDAD GALAN;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
48;62;11001;169;OFICINA TUNAL;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
18;63;11001;169;OFICINA UNICENTRO DE OCCIDENTE ANTES CIUDADELA COLSUBSIDIO;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
63;64;11001;169;OFICINA UNICENTRO I;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
84;65;11001;169;OFICINA VEINTE DE JULIO;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
72;66;11001;169;OFICINA ZONA INDUSTRIAL;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
0;67;11001;169;DEPTO PROY BANCO EN;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
1;68;11001;169;ADMON CENT CAJ AUTOM;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
2;69;11001;169;CT ATEN CAJ REMOTOS1;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3;70;11001;169;C ATEN CAJER REMOT 2;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
4;71;11001;169;SAN NICOLAS;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
5;72;11001;169;TIMIZA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
6;73;11001;169;LA GUACA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
7;74;11001;169;SAN LUIS;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
12;75;11001;169;ALAMOS INDUSTRIAL;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
14;76;11001;169;VILLA DEL PRADO;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
15;77;11001;169;PALOQUEMAO;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
17;78;11001;169;ESTRADA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
20;79;11001;169;CARTERA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
21;80;11001;169;CIUDAD JARDIN;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
22;81;11001;169;CLARET;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
25;82;11001;169;ALHAMBRA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
27;83;11001;169;CAMPO DAVID;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
29;84;11001;169;OFICINA CENTRAL ATMS;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
30;85;11001;169;BRINKS;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
31;86;11001;169;FRANQUI VISA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
32;87;11001;169;CONTADOR NORTE;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
33;88;11001;169;PROCESOS ESPECIALES;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
34;89;11001;169;FRAN MASTER CARD;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
35;90;11001;169;SERVIBANCA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
36;91;11001;169;FREANQUI DINERS;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
37;92;11001;169;TELEFONO ROJO;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
39;93;11001;169;CASTILLA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
40;94;11001;169;MINUTO;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
43;95;11001;169;EL RETIRO;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
47;96;11001;169;DOS AVENIDAS;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
49;97;11001;169;METROSUR;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
52;98;11001;169;CIUDAD ROMA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
54;99;73449;1031;MELGAR;MELGAR;104;2;4102020015;2;MUNICIPIO;ACTIVO;1
56;100;11001;169;SANTA HELENITA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
65;101;11001;169;CENTRO INTERNACIONAL;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
85;102;11001;169;QUIRIGUA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
91;103;11001;169;SUBA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
1073;104;11001;169;GERE ZON BANCA OFICI;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
1078;105;11001;169;GERE ESTR CASH MANAG;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
1818;106;11001;169;CORFERIAS;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
2221;107;11001;169;DAVIVIENDA COM;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
2223;108;11001;169;DAVIVIENDA COM;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
2224;109;11001;169;DAVIVIENDA COM;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3001;110;11001;169;GERE REG BOG Y CUND;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3002;111;11001;169;SUBGER PYME SUR R BO;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3003;112;11001;169;SUBGERE VTAS Y CIOS;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3004;113;11001;169;JEFATURA VTAS MOVILE;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3005;114;11001;169;SINERGIA BOGOTA 2;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3006;115;11001;169;SINERGIA BOGOTA 1;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3007;116;11001;169;COOR DE BCA PERSONAL;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3008;117;11001;169;COORD CIAL VTAS 1 BT;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3009;118;11001;169;COORD CIAL VTAS 2 BT;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3010;119;11001;169;COORD CIAL VTAS 3 BT;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3011;120;11001;169;COORD CIAL VTAS 4 BT;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3012;121;11001;169;COODD CIAL VTAS 5 BT;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3013;122;11001;169;JEFE ESTABLE BOGOTA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3014;123;11001;169;COORD CIOS BOGOTA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3015;124;11001;169;DIRECTOR VTAS 1 BTA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3016;125;11001;169;DIRECTOR VTAS 2 BTA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3017;126;11001;169;DIRECTOR VTAS 3 BTA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3018;127;11001;169;DIRECTOR VTAS 4 BTA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3019;128;11001;169;DIRECTOR VTAS 5 BTA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3020;129;11001;169;DIRECTOR VTAS 6 BTA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3021;130;11001;169;DIRECTOR VTAS 7 BTA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3022;131;11001;169;DIRECTOR VTAS 8 BTA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3023;132;11001;169;DIRECTOR VTAS 9 BTA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3024;133;11001;169;DIRECTOR VTAS 10 BTA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3025;134;11001;169;DIRECTOR VTAS 11 BTA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3026;135;11001;169;DIRECTOR VTAS 12 BTA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3027;136;11001;169;DIRECTOR VTAS 13 BTA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3028;137;11001;169;DIRECTOR VTAS 14 BTA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3029;138;11001;169;SUBG EMPR II REG BOG;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3030;139;11001;169;COORD DE ESTABLECIMI;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3031;140;11001;169;CONEXRED MEDELLIN;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3032;141;11001;169;CONEXRED BOGOTA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3033;142;11001;169;CONEXRED CARTAGENA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3034;143;11001;169;CONEXRED BARRANQUILLA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3035;144;11001;169;CONEXRED MONTERIA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3036;145;11001;169;CONEXRED CUCUTA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3037;146;11001;169;CONEXRED CALI;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3038;147;11001;169;CONEXRED SANTA MARTA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3039;148;11001;169;CONEXRED PASTO;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3040;149;11001;169;CONEXRED VALLEDUPAR;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3042;150;11001;169;CONEXRED SINCELEJO;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3043;151;11001;169;CONEXRED VILLAVICENCIO;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3044;152;11001;169;CONEXRED BUENAVENTURA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3045;153;11001;169;CONEXRED TURBO;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3046;154;11001;169;CONEXRED IBAGUE;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3049;155;11001;169;CONEXRED POPAYAN;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3050;156;11001;169;CONEXRED FLORENCIA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3052;157;11001;169;CONEXRED RIOHACHA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3053;158;11001;169;CONEXRED NEIVA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3054;159;11001;169;CONEXRED BUCARAMANGA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3055;160;11001;169;CONEXRED APARTADO;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3056;161;11001;169;CONEXRED QUIBDO;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3059;162;11001;169;CONEXRED MANIZALES;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3060;163;11001;169;CONEXRED ARAUCA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3061;164;11001;169;CONEXRED ARMENIA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3062;165;11001;169;CONEXRED MOCOA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3063;166;11001;169;CONEXRED TUNJA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3064;167;11001;169;CONEXRED PAMPLONA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3065;168;11001;169;CONEXRED MAICAO;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3066;169;11001;169;CONEXRED FONSECA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3068;170;11001;169;CONEXRED MALAGA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3069;171;11001;169;CONEXRED SAN JOSE GUA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3070;172;11001;169;CONEXRED CAMPOALEGRE;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3071;173;11001;169;CONEXRED PUERTO ASIS;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3076;174;11001;169;CONEXRED IRINIDA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3077;175;11001;169;CIENCUADRAS;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3078;176;11001;169;OFICINA VIRTUAL BGTA DC;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3079;177;11001;169;OFICINA VIRTUAL DEFAULT;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3080;178;11001;169;JEFATURA PYME SURORI;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3081;179;11001;169;JEFATURA PYME SUROCC;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3082;180;11001;169;JEFATURA PYME OCCIDE;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3083;181;11001;169;JEFATURA PYME NORCEN;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3084;182;11001;169;JEFATURA PYME NORORI;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3085;183;11001;169;JEFATURA PYME ORIENT;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3086;184;11001;169;JEFATURA PYME NOROCI;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3087;185;11001;169;PUNTO ESP TRANS FUSA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3088;186;11001;169;BODYTECH;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3089;187;11001;169;ATHLETIC;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3090;188;11001;169;OFICINA VIRTUAL LA MESA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3091;189;11001;169;OFICINA VIRTUAL MADRID;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3092;190;11001;169;OFICINA VIRTUAL MOSQUERA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3093;191;11001;169;OFICINA VIRTUAL PACHO;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3094;192;11001;169;OFICINA VIRTUAL S ANT TEQUENDAMA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3095;193;11001;169;OFICINA VIRTUAL SIBATE;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3096;194;11001;169;OFICINA VIRTUAL SOACHA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3097;195;11001;169;OFICINA VIRTUAL SOPO;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3098;196;11001;169;OFICINA VIRTUAL SUBACHOQUE;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3099;197;11001;169;OFICINA VIRTUAL TENJO;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3100;198;11001;169;SUBGERENCI DE SECTOR;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3101;199;11001;169;SUBGERENCI DE SECTOR;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3102;200;11001;169;OFICINA VIRTUAL TOCANCIPA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3103;201;11001;169;OFICINA VIRTUAL VIANI;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3104;202;11001;169;OFICINA VIRTUAL VILLA S DIEGO UB;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3105;203;11001;169;OFICINA VIRTUAL VILLETA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3106;204;25040;622;ANOLAIMA;ANOLAIMA;87;2;4102020015;2;MUNICIPIO;ACTIVO;1
3107;205;11001;169;RAPPIPAY;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3108;206;11001;169;CTRO RECAU PAGO SANF;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3110;207;11001;169;JEFES DE ZONA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3118;208;11001;169;CONTINGENCIA TERREMOTO;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3120;209;11001;169;SUBG DE BANCA EMPRES;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3124;210;11001;169;PUNTO ESPECIALIZADO SIM CORFERIAS;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3127;211;11001;169;PUNTO ESPECIALIZADO VUS CC ENSUENO;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3128;212;11001;169;PUNTO ESPECIALIZADO VUS CC MERIDIANO;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3129;213;11001;169;PUNTO ESPECIALIZADO VUS HUB 72;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3130;214;11001;169;COORDINADOR ADMINISTRATIV;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3131;215;11001;169;PUNTO ESPECIALIZADO VUS CC GRAN PLAZA BOSA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3132;216;11001;169;C A T BOGOTA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3133;217;11001;169;PUNTO ESPECIALIZADO VUS CC ALTAVISTA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3134;218;11001;169;PUNTO ESPECIALIZADO VUS CC PASEO SAN RAFAEL;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
3200;219;11001;169;SUBGER DE CREDITO;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
